"filename", "language", "JSON", "HTML", "TypeScript", "TypeScript JSX", "XML", "SVG", "PostCSS", "Markdown", "CSV", "JSON with Comments", "JavaScript", "MS SQL", "Gradle", "Batch", "Java Properties", "Python", "Java", "YAML", "comment", "blank", "total"
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/common/handler/GlobalExceptionHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 31, 7, 94
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/common/utils/BeanCopyUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 27, 7, 58
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/common/utils/JwtUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 39, 16, 126
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/common/vo/ApiResponse.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 43, 13, 86
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/config/MyMetaObjectHandler.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 23, 6, 50
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/config/MybatisPlusConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 16, 7, 42
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/config/OpenApiConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 16, 5, 55
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/config/SecurityConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 0, 37, 14, 104
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/config/SwaggerConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/config/WebMvcConfig.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 14, 5, 35
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/controller/AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 23, 20, 97
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/dto/LoginRequestDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 6, 7, 27
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/dto/LoginResponseVO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 36, 14, 73
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/service/AuthService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/auth/service/AuthServiceImpl.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 5
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/aspect/AuditLogAspect.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 36, 17, 131
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/controller/LogController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 18, 6, 48
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/dto/AuditLogQueryDTO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 19, 11, 51
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/dto/AuditLogVO.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 5, 28
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/entity/AuditLog.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 30, 14, 76
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/entity/SystemLog.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 24, 12, 64
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/mapper/AuditLogMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 11
"/Users/karanocave/Code/SmartLabManagement/backend/src/main/java/com/labmanagement/backend/modules/log/mapper/SystemLogMapper.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
