"filename", "language", "HTML", "TypeScript JSX", "TypeScript", "XML", "PostCSS", "MS SQL", "Java", "Markdown", "comment", "blank", "total"
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseEquipment.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseExperimentRecord.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseExperimentReportVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageEquipment.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageExperimentRecord.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageLab.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageMaterial.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageProjectVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageResourceRequestVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageSafetyIncidentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageSupplier.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseIPageUserVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseLab.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListPermission.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListProjectTask.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListRiskAssessmentVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseListRole.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
"/Users/karanocave/Code/SmartLabManagement/fronted/src/client/docs/ApiResponseLoginResponseVO.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, -17, 0, -8, -25
